,Job Name,company_name,location,Job Post,Salary
37,English Teacher,PlanetSpark,Work from home,1 week ago,"₹ 3,00,000 - 5,00,000                                        

                                        ₹ 3,00,000 - 5,00,000 /year"
38,Junior Motion Graphics Executive,ASMACS Skill Development Limited,Mumbai,1 week ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
39,Associate Content Writer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
40,Graphic Designer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
41,Associate Videographer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
42,Associate - Customer Success,Media.net,Bangalore,1 week ago,"₹ 4,00,000 - 4,50,000                                        

                                        ₹ 4,00,000 - 4,50,000 /year"
43,Associate JavaScript Developer,ASMACS Skill Development Limited,Mumbai,1 week ago,"₹ 2,40,000                                        

                                        ₹ 2,40,000 /year"
44,Associate - Sales,Media.net,Mumbai,1 week ago,"₹ 4,00,000 - 6,00,000                                        

                                        ₹ 4,00,000 - 6,00,000 /year"
45,Data Entry Associate,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
46,Corporate Sales Associate,QuickSort Solutions,Bangalore,1 week ago,"₹ 2,00,000 - 4,00,000                                        

                                        ₹ 2,00,000 - 4,00,000 /year"
47,Junior Software Developer,ASMACS Skill Development Limited,Mumbai,3 days ago,"₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
48,English Tutor-WFH,PlanetSpark,Work from home,1 day ago,"₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
49,Business Development Associate,Bizknowmics,Chennai,3 weeks ago,"₹ 2,40,000 - 3,60,000                                        

                                        ₹ 2,40,000 - 3,60,000 /year"
50,Telecaller,Dare2Gear,Noida,3 weeks ago,"₹ 2,40,000 - 3,50,000                                        

                                        ₹ 2,40,000 - 3,50,000 /year"
